-75.909,108.52,1477,120,1.75,0
180.75,-57.98,1652.1,80,1.5,0
58.195,-165.88,1271.9,80,2,0
-288.12,-183.76,1403.2,100,2,0
-288,41.31,1765.4,120,2,0
13.478,213.12,1841.5,100,1.5,0
84.058,-404.9,1541.5,100,1.5,0
-66.183,-228.13,1848.1,100,2,0
138.7,408.73,1490,80,1.5,0
412.75,148.91,1475.9,120,2,0
-252.07,68.174,1116.3,120,1.5,0
-242.11,381.91,1625.5,80,2,0
417.54,-212.51,1441,100,2,0
348.02,54.839,1140.4,80,1.5,0
62.282,265.11,1063.1,120,1.5,0
-476.2,184.59,1395.3,80,1.75,0
305.66,-337.67,1846.5,120,1.75,0
380.02,48.911,1934.4,120,1.75,0
-193.59,-338.94,1070.4,100,1.75,0
27.199,-99.116,924.43,120,1.5,0
-247.91,435.1,1194.4,80,1.5,0
357.91,372.02,1780.3,120,2,0
-476.24,-284.16,1729.1,80,1.5,0
-245.01,-557.55,1446.9,100,1.5,0
373.57,410.67,1213.8,100,1.5,0
143.51,-538.84,1144.8,120,1.5,0
-233.01,113.03,2119.9,80,2,0
58.035,621.73,1760.5,100,1.5,0
72.553,608.49,1163.1,80,1.5,0
659.88,-117.98,1703.2,120,1.75,0
426.31,-328.28,1047.6,100,1.5,0
129.65,155.14,2173.6,100,1.75,0
-531.87,-188.67,1076,120,2,0
-188.31,473.45,1991.8,100,1.5,0
-143.82,694.37,1433.8,100,2,0
-364.89,-222.96,2071.4,100,1.75,0
-703.04,-107.72,1387.1,100,1.5,0
41.942,-652.52,1803.1,100,2,0
436.46,-566.34,1405.9,100,1.75,0
-289.68,-532.4,1906.3,80,1.75,0
-665.98,40.234,1797.9,120,1.75,0
-567.89,-446.45,1333.8,80,2,0
708.92,-42.765,1285.9,80,2,0
51.14,-452.46,2099.1,120,1.75,0
575.48,488.8,1524.7,80,1.75,0
-490.45,576.8,1449,100,2,0
173.42,491.13,2076.4,120,1.75,0
-304.6,-50.346,779.08,120,1.5,0
309.54,-183.36,2197,120,2,0
-262.65,308.54,821.36,100,2,0
316.63,719.63,1401.7,80,1.75,0
142.24,-791.06,1478.1,100,1.5,0
-41.601,-136.1,2293.7,120,2,0
-523.7,310.92,2031,120,2,0
697.23,244.89,1830,80,2,0
-583.74,156.44,951.73,80,2,0
-723.64,365.09,1645.8,100,1.75,0
350.16,-70.474,751.85,120,1.75,0
78.307,217.62,701.45,80,1.5,0
-466.45,612.24,1820,120,1.75,0
404.14,-684.28,1756.3,100,1.75,0
499.53,262.12,876.66,80,1.75,0
104.41,-411.3,768.55,120,1.5,0
244.96,510.95,871.81,80,2,0
-529.23,-641.07,1665.4,100,2,0
